SITENAME,wmIntegrateUsers,wmConnectionMethod
hogaresuniontest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
howmetinctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
howmetinctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
hpitest1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
hpitest2,wmIntegrateUsers=No,wmConnectionMethod=httpPost
hwitest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
hwitest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
hwitest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ibmcorptest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ibmcorptest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ibvitest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
iccstest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
icontectest1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
infosysllctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
infosysllctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
infosysllctest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
infosysllctest4,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
inmobiliatest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
intge,wmIntegrateUsers=No,wmConnectionMethod=httpPost
invacaretest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ircompanytest1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
ircompanytest2,wmIntegrateUsers=No,wmConnectionMethod=httpPost
ircompanytest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ircompanytest4,wmIntegrateUsers=No,wmConnectionMethod=httpPost
ircompanytest5,wmIntegrateUsers=No,wmConnectionMethod=httpPost
ircompanytest6,wmIntegrateUsers=No,wmConnectionMethod=httpPost
itgpanhp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
itgpanhpe,wmIntegrateUsers=No,wmConnectionMethod=httpPost
itgpanhpi,wmIntegrateUsers=No,wmConnectionMethod=httpPost
jaejsatest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jcidev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jcidev2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jcidev3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jcidev4,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jcitest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jcitest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jcitest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jcitest4,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
junipertest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
junipertest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
junipertest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
komoriustest1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
kpmg2test1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
kpmgtest1,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
kpsgloballlctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
kpsgloballlctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
learnvantiv,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
lenovoustest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
lionbridgetest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
lionbridgetest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
meltwatertest1,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
meltwatertest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mercantilsegurostest1,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
mercurymarinedev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mercurymarinedev2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mercurymarinetest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mercurymarinetest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mercurymarineuat1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
miltonroydev1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
miltonroytest1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
mmaxcpqdev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mmaxcpqtest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mmstest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mphmastersdev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mpspectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
newtempge,wmIntegrateUsers=No,wmConnectionMethod=httpPost
novacomptest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
nowtvsalestest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ocupaholdingstest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ocupatest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
oneworkplacetest1,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
opcionesadmindev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
opcionesadmintest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
optifinsapidecvtest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ort2spectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ortspectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
paychexinctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
paychexinctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
paychexinctest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
perf2symc-i01,grep: /bmfsweb/perf2symc-i01/global/wmIntegration.ini: No such file or directory,grep: /bmfsweb/perf2symc-i01/global/wmIntegration.ini: No such file or directory
perf2symc-i02,grep: /bmfsweb/perf2symc-i02/global/wmIntegration.ini: No such file or directory,grep: /bmfsweb/perf2symc-i02/global/wmIntegration.ini: No such file or directory
piramidaltest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
piramidaltest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
plantronicsinctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
plantronicsinctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
play1stryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
playsymc,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
preprodxeroxemea,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
preprodxeroxemea-i2,grep: /bmfsweb/preprodxeroxemea-i2/global/wmIntegration.ini: No such file or directory,grep: /bmfsweb/preprodxeroxemea-i2/global/wmIntegration.ini: No such file or directory
preprodxeroxemea-i3,grep: /bmfsweb/preprodxeroxemea-i3/global/wmIntegration.ini: No such file or directory,grep: /bmfsweb/preprodxeroxemea-i3/global/wmIntegration.ini: No such file or directory
pridemobilitytest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
pridemobilitytest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
pridemobilitytest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
prmtest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
prod2panhp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
prodesptest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
prosegur2test,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
pwcdev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
pwctest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
qa2spectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
qa2stryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
qa2thomsonreuters,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
qa3stryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
qaidexx,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
qapanduit,wmIntegrateUsers=No,wmConnectionMethod=httpPost
qarsacanada,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
qastryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
qavantiv,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
qsredhat,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
quimica2test1,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
quimicatest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ramirezysancheztest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ricohhktest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ricohtest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ricohtest2,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
ricohtest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
rotometricsdev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
rotometricstest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
safaritest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
safaritest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sandbox3schneider,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sandboxbeckmancoulterdanaher,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sankyofrontiertest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sbsidev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sbsitest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
seacoastmedicaltest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
semextest,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
semextest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sinclairbroadcasttest1,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
sinclairbroadcasttest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sistematest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sitgeip,wmIntegrateUsers=No,wmConnectionMethod=httpPost
sportabletest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
spxflowusllctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
srt2spectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
stagefico,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
stagefike,wmIntegrateUsers=No,wmConnectionMethod=httpPost
stagenecam,wmIntegrateUsers=No,wmConnectionMethod=httpPost
stagerepublicservices,wmIntegrateUsers=No,wmConnectionMethod=httpPost
stageschneider,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
stagetektronix,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
stagevantiv,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
stagexcpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
stg-nowtvsales,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sumatest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sustsonosite,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
symctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
symctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
tandemcorptest1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
tandemcorpuat,wmIntegrateUsers=No,wmConnectionMethod=httpPost
tarjabtest1,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
tatacxtest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
telecomargentinatest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
telecomargentinatest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
telecomargentinatest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
telefonicachiletest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
telemartest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
telemartest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
